puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
bojnplcedmiagkhf,disjoint-database,59,drrrdllluruldrruldlururdrulddluurdrddluurddluldruluuldrrdrd,49,727.03,486375,668989,6
npmhjegofblkcida,disjoint-database,57,dlurrdddruuldluurdddruuulddlulddruulddruuruldlurdrulddrdr,51,56.102,35548,633632,4
dmipcfaklghbjnoe,disjoint-database,55,dddluluuldrrddlulurruldrrdlurullldrrdldluurrrdluuldddrr,45,90.864,58438,643137,6
kahjmnflpceidbog,disjoint-database,54,urdldruluurddldrurulldrrruuldldrurddluulldrrruulldrddr,44,1430.01,941629,658477,6
eoaldnmjipchkbfg,disjoint-database,51,uldrrulurdlddluuurddrurdlurulldldrrdruulddlluurrddr,41,209.028,133786,640039,6
pnclmdihebgojkaf,disjoint-database,50,rddlurrulldrrrullddrdruululddrulddruldluuruldrddrr,42,15.022,8301,552590,5
hndkmcieglbpojaf,disjoint-database,53,lllurrrdlldrrulldluruulddrurddlururullldrrulddrruldrd,45,89.468,53827,601634,5
bcmehlngkpjdofai,disjoint-database,57,ururddlllurrurddlllurrddruuldldluurrddlluurdrrulullddrrrd,47,516.801,330180,638892,6
gemlapjhdbionfkc,disjoint-database,50,druuldrulldrdlurrdldrruulddlluururddruulddrulldrdr,42,231.666,147992,638816,5
dfgbacomljenhpki,disjoint-database,54,uldrrruulldrrulullddrdruulurrdlllddrrruullurrdldlldrrr,50,7.609,4315,567092,3
kmaglidnpofhjceb,disjoint-database,52,uurrdddruuuldddluurddluluurrddrdlullururdrdlldlurdrr,46,5.922,2799,472644,4
jolbcmnpkhaedgfi,disjoint-database,66,ulddluurdddlluruurddrdllurdllururrulddrdlluulurrdldrruuldlldrurddr,56,6621.35,4437215,670138,6
ofhclgeijmbkapnd,disjoint-database,52,uluurddlurrdlldrrulurrddluuuldldrrurdluullddruurrddd,44,320.71,208485,650073,5
elpoimkncadhbgfj,disjoint-database,54,ddlurdruulldrddluldrrruuullddluurdddrruuullddrrullddrr,46,62.913,38797,616677,5
nlikajmedfchbpog,disjoint-database,60,uuldrruulldrrrddluuulldrdruurddluuldddrulldrulurdrurulldddrr,48,8384.39,5608620,668936,7
cndkjelibfmgpaho,disjoint-database,49,uurdrurdlululdddruulddrurdruuulllddruuldrrdruldrd,39,79.853,48975,613314,6
odfihlangembckjp,disjoint-database,62,lluuurdllddrurrulllurrrdldrdlluluurrdldldrurulurddrdlluuldrrrd,54,216.568,144397,666751,5
fkmdjhipoanelgcb,disjoint-database,58,ddlllurrulldrrurddllluruurdrddlluuurdrdlluulddrdluururdrdd,48,687.446,458044,666298,6
pmhnkjfobdlgaice,disjoint-database,58,rdrdruullddrdruulllurrddruuldlddruullddruuuldddruuuldddrrr,48,400.732,266487,665001,6
lpighobkncjdfaem,disjoint-database,57,rdldldrrruulllddrrruulluldddruuulddrrdrululurrddluurddldr,47,765.215,512555,669818,6
ihekbalcgmjfpodn,disjoint-database,47,urdlurrrululdlurdrddlulurrdruuldddruuulddldrurd,39,16.967,9585,564920,5
eaodnbkmicpglfhj,disjoint-database,40,ulddluuurdrrddluuulddrrdlluldrururddlurd,38,0.68,112,164706,2
jpbgdlhamfiekcno,disjoint-database,51,rdldrurdldllurulurdldrrdluurdllurrrulldrrullldrdrdr,41,623.793,418112,670274,6
hogljcniepfmabdk,disjoint-database,61,dluurddlurrrulullddrrrulullddrdlurrdruuldruuldddruuulldldrdrr,49,7943.95,5329385,670874,7
lecihdkgapmbfjno,disjoint-database,49,rulldruuldrurdrulddrulldrrulldrdllurdrurululdddrr,41,356.971,232188,650439,5
olkgdpbnjmheifac,disjoint-database,58,rddlurrululldrdrdruululldrdrdruluulldrdldrruurddluuruldrdd,48,1771.88,1155631,652208,6
dcbfkplgnahojemi,disjoint-database,48,dldrrrulllurdldrurdluruullddrururdluldrruldrdldr,42,38.634,25082,649221,4
fgeilkobmhapcjnd,disjoint-database,53,dllluurdruurddluldlururrdldldrrulluuldrrdllururddldrr,43,47.306,28059,593138,6
gfebkohlcdnmijap,disjoint-database,48,uldruuldlulurrddldrruulllddrruullurrrdlllurrdrdd,44,5.365,2807,523206,3
nacjpfomkhgldebi,disjoint-database,55,urdddlurdrrulurulldddruuldrrululdldrdlurururdldrdllurdr,49,37.795,23379,618574,4
kmnlphabjiecodgf,disjoint-database,57,urdruldlurdddluurdruruldldrdlurrdllluururddruulddlurdldrr,49,167.375,110752,661700,5
enofkihcbpmajldg,disjoint-database,51,uldrruurdddluurddlluuurdrddluluurdllddruluurdrurddd,45,17.235,10155,589208,4
ahbolmeckjfgpndi,disjoint-database,49,uurrddlulurrdluurdrulddrdlurulldrdllurdrruuldldrr,39,85.371,52797,618442,6
mbgfkodlcjanhpie,disjoint-database,54,uldrrruuldlurdlluurrrddlllururddldrruullddluruulddrdrr,48,241.236,163229,676636,4
hagobmcilpfnkjed,disjoint-database,53,uuldrrrulldrddllurrdllurrrdlluurrddluuurdlullddrdrurd,47,63.691,41785,656058,4
oibnhgadcjekpfml,disjoint-database,51,rurruuldrdlulldrdruullurrrdlllddruulurrddllurddrurd,41,89.817,57711,642540,6
bfgkodpmajinhlce,disjoint-database,55,druullddrrdllurulldrrrdlllururdldrulurulldrrrdluruldrdd,45,190.162,125568,660321,6
mjkofcnhdbilpgae,disjoint-database,59,rrruluurdluldldrdruullurddlurrulldrddlurdruruullddrulldrrrd,49,840.529,555073,660385,6
gemdnfkhjlabcpio,disjoint-database,50,luururddlluruldrrurddlldruurullddluurdruldddlurdrr,42,195.841,124464,635536,5
